production_company,movie_count,prod_company_rank
"Dream Warrior Pictures",3,1
"National Theatre Live",3,1
"Lietuvos Kinostudija",2,3
"Swadharm Entertainment",2,3
"Panorama Studios",2,3
"Marvel Studios",2,3
"Central Base Productions",2,3
"Painted Creek Productions",2,3
"National Theatre",2,3
"Colour Yellow Productions",2,3
"The Archers",1,11
"Blaze Film Enterprises",1,11
"Bradeway Pictures",1,11
"Bert Marcus Productions",1,11
"A Studios",1,11
"Ronk Film",1,11
"Benaras Mediaworks",1,11
"Bioscope Film Framers",1,11
"Bestwin Production",1,11
"Studio Green",1,11
"AKS Film Studio",1,11
"Kaargo Cinemas",1,11
"Animonsta Studios",1,11
"O3 Turkey Medya",1,11
StarVision,1,11
"Synergy Films",1,11
"PVP Cinema",1,11
"Plan J Studios",1,11
"20 Steps Productions",1,11
"Prime Zero Productions",1,11
"Shreya Films International",1,11
"SLN Cinemas",1,11
"Epiphany Entertainments",1,11
"3 Ng Film",1,11
"Eastpool Films",1,11
"A square productions",1,11
"Oak Entertainments",1,11
"Doha Film Institute",1,11
"Fenrir Films",1,11
"Fábrica de Cine",1,11
"Chernin Entertainment",1,11
"Cross Creek Pictures",1,11
"Loaded Dice Films",1,11
"WM Films",1,11
"Walt Disney Pictures",1,11
"Excel Entertainment",1,11
Ancine,1,11
"Twentieth Century Fox",1,11
"Ave Fenix Pictures",1,11
"Runaway Productions",1,11
"Aletheia Films",1,11
"70 MM Entertainments",1,11
"Moho Film",1,11
"BR Productions and Riding High Pictures",1,11
"Cana Vista Films",1,11
"Gurbani Media",1,11
"Sony Pictures Entertainment (SPE)",1,11
"InnoVate Productions",1,11
"Saanvi Pictures",1,11
"The SPA Studios",1,11
"Rotten Productions",1,11
"Film Village",1,11
"Arka Mediaworks",1,11
"Atresmedia Cine",1,11
"Goopy Bagha Productions Limited",1,11
Maxmedia,1,11
"1234 Cine Creations",1,11
"Silent Hills Studio",1,11
"Blueprint Pictures",1,11
"Archangel Studios",1,11
"HI Film Productions",1,11
"Tin Drum Beats",1,11
"Frío Frío",1,11
"Warnuts Entertainment",1,11
"Potential Studios",1,11
Adrama,1,11
"Dark Steel Entertainment",1,11
Allfilm,1,11
"Nokkhottro Cholochitra",1,11
"BOB Film Sweden AB",1,11
"Smash Entertainment!",1,11
EFilm,1,11
"Urvashi Theaters",1,11
"Angel Capital Film Group",1,11
"Grass Root Film Company",1,11
"Art Movies",1,11
"Lost Legends",1,11
Ra.Mo.,1,11
"Avocado Media",1,11
"Tigmanshu Dhulia Films",1,11
"Think Music",1,11
"Anwar Rasheed Entertainment",1,11
"Dwarakish Chitra",1,11
"Anto Joseph Film Company",1,11
"Dijital Sanatlar Production",1,11
"Missart produkcija",1,11
"Jayanna Combines",1,11
"Jar Pictures",1,11
"British Muslim TV",1,11
"Crossing Bridges Films",1,11
"BrightKnight Entertainment",1,11
"Mirror Images LTD.",1,11
"Mango Pickle Entertainment",1,11
Detailfilm,1,11
"Archway Pictures",1,11
"Vehli Janta Films",1,11
"Grooters Productions",1,11
"Fulwell 73",1,11
Participant,1,11
"Madras Enterprises",1,11
"Alchemy Vision Workz",1,11
"Axess Film Factory",1,11
"PRK Productions",1,11
"Dashami Studioz",1,11
Fablemaze,1,11
"StarFab Production",1,11
"RGK Cinema",1,11
"Shreyasree Movies",1,11
"BRON Studios",1,11
"Bhadrakali Pictures",1,11
"The Icelandic Filmcompany",1,11
"The Church of Almighty God Film Center",1,11
"Maha Sithralu",1,11
"Mythri Movie Makers",1,11
"Orange Médias",1,11
"Mumbai Film Company",1,11
"Swapna Cinema",1,11
"Vivid Films",1,11
"HRX Films",1,11
"Wonder Head",1,11
"Sixteen by Sixty-Four Productions",1,11
"Akshar Communications",1,11
"Moviee Mill",1,11
"Happy Hours Entertainments",1,11
M-Films,1,11
"Cineddiction Films",1,11
"Heyday Films",1,11
"Diamond Works",1,11
"Shree Raajalakshmi Films",1,11
"Dream Tree Film Productions",1,11
"Cine Sarasavi Productions",1,11
"Acropolis Entertainment",1,11
"RedhanThe Cinema People",1,11
"Hombale Films",1,11
"Swonderful Pictures",1,11
"COMETE Films",1,11
"Cinepro Lanka International",1,11
"Williams 4 Productions",1,11
"Touch Wood Multimedia Creations",1,11
"Rocket Beans Entertainment",1,11
Hepifilms,1,11
"SRaj Productions",1,11
"Kharisma Starvision Plus PT",1,11
"MD productions",1,11
"Ataraxia Entertainment",1,11
"NBW Films",1,11
"Kannamthanam Films",1,11
"Brainbox Studios",1,11
"Matchbox Pictures",1,11
"Reliance Entertainment",1,11
"Neelam Productions",1,11
"Jyot & Aagnya Anusaare Productions",1,11
"Clown Town Productions",1,11
"Special Treats Production Company",1,11
"Mooz Films",1,11
"Bulb Chamka",1,11
"GreenTouch Entertainment",1,11
"Crystal Paark Cinemas",1,11
"Kangaroo Broadcasting",1,11
"Swami Samartha Creations",1,11
"DreamReality Movies",1,11
"Fahadh Faasil and Friends",1,11
Narrator,1,11
"Kineo Filmproduktion",1,11
"Appu Pathu Pappu Production House",1,11
"Rishab Shetty Films",1,11
"Namah Pictures",1,11
"Annai Tamil Cinemas",1,11
"Viacom18 Motion Pictures",1,11
"MNC Pictures",1,11
"Clyde Vision Films",1,11
"Adenium Productions",1,11
"Trafalgar Releasing",1,11
"Lovely World Entertainment",1,11
"Hayagriva Movie Adishtana",1,11
"OPM Cinemas",1,11
"Sithara Entertainments",1,11
"French Quarter Film",1,11
"Mumba Devi Motion Pictures",1,11
"Fox STAR Studios",1,11
"Aries Telecasting",1,11
"Abis Studio",1,11
"Rapi Films",1,11
