actor_name,total_votes,movie_count,actor_avg_rating,actor_rank
"Vijay Sethupathi",20364,5,8.42,1
"Fahadh Faasil",3684,5,7.99,2
"Yogi Babu",223,11,7.83,3
"Joju George",413,5,7.58,4
"Ammy Virk",169,6,7.55,5
"Dileesh Pothan",1115,5,7.52,6
"Kunchacko Boban",3684,6,7.48,7
"Pankaj Tripathi",13723,5,7.44,8
"Rajkummar Rao",8320,6,7.37,9
"Dulquer Salmaan",2432,5,7.30,10
"Amit Sadh",476,5,7.21,11
"Tovino Thomas",2109,8,7.15,12
Mammootty,1119,8,7.04,13
Nassar,508,5,7.03,14
"Karamjit Anmol",712,6,6.91,15
"Hareesh Kanaran",817,5,6.58,16
"Naseeruddin Shah",3349,5,6.54,17
Anandraj,132,6,6.54,17
Mohanlal,5471,6,6.51,19
Siddique,1750,7,6.43,20
"Aju Varghese",243,5,6.43,20
"Prakash Raj",242,6,6.37,22
"Jimmy Sheirgill",821,6,6.29,23
"Mahesh Achanta",168,6,6.21,24
"Biju Menon",243,5,6.21,24
"Suraj Venjaramoodu",401,6,6.19,26
"Abir Chatterjee",162,5,5.80,27
"Sunny Deol",465,5,5.71,28
"Radha Ravi",153,5,5.70,29
"Prabhu Deva",187,5,5.68,30
