title,avg_rating,avg_rating_category
"Der müde Tod",7.7,"Hit movies"
"Fahrenheit 451",4.9,"Flop movies"
"Pet Sematary",5.8,"one-time-watch movies"
Dukun,6.9,"one-time-watch movies"
"Back Roads",7.0,"Hit movies"
Countdown,5.4,"one-time-watch movies"
"Staged Killer",3.3,"Flop movies"
Vellaipookal,7.3,"Hit movies"
"Uriyadi 2",7.3,"Hit movies"
Incitement,7.5,"Hit movies"
Rakshasudu,8.4,"superhit movies"
"Trois jours et une vie",6.6,"one-time-watch movies"
"Killer in Law",5.1,"one-time-watch movies"
Kalki,7.3,"Hit movies"
Milliard,2.7,"Flop movies"
"Vinci Da",7.2,"Hit movies"
"Gunned Down",5.1,"one-time-watch movies"
"Deviant Love",3.5,"Flop movies"
Storozh,6.3,"one-time-watch movies"
"Sivappu Manjal Pachai",7.2,"Hit movies"
Magamuni,8.1,"superhit movies"
"Hometown Killer",5.8,"one-time-watch movies"
ECCO,5.0,"one-time-watch movies"
Baaji,7.1,"Hit movies"
Kasablanka,6.7,"one-time-watch movies"
"Annabellum: The Curse of Salem",2.9,"Flop movies"
"Zuo jia de huang yan: Bi zhong you zui",5.8,"one-time-watch movies"
Evaru,8.3,"superhit movies"
Saja,6.2,"one-time-watch movies"
Jiivi,7.9,"Hit movies"
"Ai-naki Mori de Sakebe",6.4,"one-time-watch movies"
"Ne Zha zhi mo tong jiang shi",7.7,"Hit movies"
"Bornoporichoy: A Grammar Of Death",5.1,"one-time-watch movies"
"Ratu Ilmu Hitam",7.4,"Hit movies"
"Barot House",7.2,"Hit movies"
"La llorona",7.1,"Hit movies"
Tekst,6.8,"one-time-watch movies"
Byeonshin,5.3,"one-time-watch movies"
Fanxiao,7.6,"Hit movies"
"The Belko Experiment",6.1,"one-time-watch movies"
Safe,9.5,"superhit movies"
Chanakya,5.4,"one-time-watch movies"
"Raju Gari Gadhi 3",8.8,"superhit movies"
Shapludu,7.7,"Hit movies"
2:22,5.8,"one-time-watch movies"
"Rambo: Last Blood",6.7,"one-time-watch movies"
Retina,5.6,"one-time-watch movies"
"Caller ID",4.1,"Flop movies"
"I See You",2.6,"Flop movies"
Venom,6.7,"one-time-watch movies"
"London Fields",4.3,"Flop movies"
"xXx: Return of Xander Cage",5.2,"one-time-watch movies"
"Infection: The Invasion Begins",2.3,"Flop movies"
Truth,7.3,"Hit movies"
Kidnap,5.9,"one-time-watch movies"
Mute,5.4,"one-time-watch movies"
Halloween,6.6,"one-time-watch movies"
"Voice from the Stone",5.2,"one-time-watch movies"
"Simple Creature",3.9,"Flop movies"
"The Commuter",6.3,"one-time-watch movies"
"The Foreigner",7.0,"Hit movies"
"Scary Story Slumber Party",2.8,"Flop movies"
Jasmine,5.7,"one-time-watch movies"
"The Entitled",6.1,"one-time-watch movies"
"Message from the King",6.4,"one-time-watch movies"
"59 Seconds",7.1,"Hit movies"
Trafficked,5.6,"one-time-watch movies"
Identical,3.4,"Flop movies"
"Art of Deception",4.0,"Flop movies"
Mara,5.1,"one-time-watch movies"
"Teenage Cocktail",5.8,"one-time-watch movies"
"Catskill Park",3.7,"Flop movies"
Seberg,5.4,"one-time-watch movies"
"An Ordinary Man",5.4,"one-time-watch movies"
"Operation Ragnarök",3.8,"Flop movies"
Demonic,5.3,"one-time-watch movies"
"Hunter Killer",6.6,"one-time-watch movies"
Insomnium,5.5,"one-time-watch movies"
"7 Splinters in Time",3.3,"Flop movies"
Brimstone,7.1,"Hit movies"
"True Crimes",5.1,"one-time-watch movies"
Overdrive,5.4,"one-time-watch movies"
"Amityville: The Awakening",4.8,"Flop movies"
"American Assassin",6.2,"one-time-watch movies"
"City of Tiny Lights",5.5,"one-time-watch movies"
"Beyond White Space",4.5,"Flop movies"
Geostorm,5.3,"one-time-watch movies"
Whispers,4.4,"Flop movies"
"Would You Rather",5.7,"one-time-watch movies"
"Nobel Chor",6.7,"one-time-watch movies"
"The Outsider",6.3,"one-time-watch movies"
Redcon-1,4.2,"Flop movies"
"Never Here",4.2,"Flop movies"
"The Unseen",4.2,"Flop movies"
"Sanctuary; Quite a Conundrum",5.4,"one-time-watch movies"
Delirium,5.7,"one-time-watch movies"
Sleepless,5.6,"one-time-watch movies"
"This Is Your Death",5.6,"one-time-watch movies"
"Black Butterfly",6.1,"one-time-watch movies"
"The Garlock Incident",4.6,"Flop movies"
Arizona,5.7,"one-time-watch movies"
Found,5.8,"one-time-watch movies"
"Nightmare Box",3.0,"Flop movies"
"I Still See You",5.8,"one-time-watch movies"
"A Life Not to Follow",7.3,"Hit movies"
"A Patch of Fog",6.5,"one-time-watch movies"
"The Elevator: Three Minutes Can Change Your Life",4.6,"Flop movies"
Bent,5.4,"one-time-watch movies"
"The Forgiven",5.9,"one-time-watch movies"
"Dark Cove",5.6,"one-time-watch movies"
"100 Ghost Street: The Return of Richard Speck",3.9,"Flop movies"
"Gali Guleiyan",7.1,"Hit movies"
Inspiration,7.1,"Hit movies"
"Lost Angelas",8.8,"superhit movies"
"Alien: Covenant",6.4,"one-time-watch movies"
"Bottom of the World",5.4,"one-time-watch movies"
"Gas Light",4.1,"Flop movies"
"Five Fingers for Marseilles",6.2,"one-time-watch movies"
"Atomic Blonde",6.7,"one-time-watch movies"
"The Forbidden Dimensions",1.6,"Flop movies"
"The Guest House",3.7,"Flop movies"
"The Ghost and The Whale",4.3,"Flop movies"
"Primrose Lane",3.6,"Flop movies"
"Deep Burial",4.1,"Flop movies"
"The Church",2.8,"Flop movies"
"The Answer",4.1,"Flop movies"
"Division 19",5.8,"one-time-watch movies"
"Point Blank",5.6,"one-time-watch movies"
Needlestick,3.5,"Flop movies"
"Keep Watching",4.3,"Flop movies"
Blowtorch,4.2,"Flop movies"
Skybound,5.9,"one-time-watch movies"
"Krampus: The Christmas Devil",1.6,"Flop movies"
"Sweet Virginia",6.2,"one-time-watch movies"
Caretakers,7.5,"Hit movies"
"The Big Take",7.0,"Hit movies"
Leatherface,5.0,"one-time-watch movies"
"The Ascent",5.7,"one-time-watch movies"
Greta,6.0,"one-time-watch movies"
"Vishwaroopam 2",5.9,"one-time-watch movies"
Displacement,4.5,"Flop movies"
"The Harrowing",4.1,"Flop movies"
Angelica,4.9,"Flop movies"
Dassehra,3.8,"Flop movies"
"Circus of the Dead",6.0,"one-time-watch movies"
"Message Man",6.7,"one-time-watch movies"
"Ascent to Hell",4.4,"Flop movies"
"Mississippi Murder",3.5,"Flop movies"
"Strange But True",5.7,"one-time-watch movies"
"Red Sparrow",6.6,"one-time-watch movies"
"Higher Power",5.4,"one-time-watch movies"
"The Snare",3.5,"Flop movies"
Money,6.6,"one-time-watch movies"
"The Circle",5.3,"one-time-watch movies"
"Corbin Nash",5.2,"one-time-watch movies"
"Wild for the Night",4.1,"Flop movies"
Alcoholist,5.0,"one-time-watch movies"
Voyoucratie,5.8,"one-time-watch movies"
"Cruel Summer",5.3,"one-time-watch movies"
"The Man Who Was Thursday",5.0,"one-time-watch movies"
"Two Down",7.2,"Hit movies"
"Where the Devil Dwells",4.7,"Flop movies"
Stockholm,4.9,"Flop movies"
"Beacon Point",5.9,"one-time-watch movies"
Delirium,3.2,"Flop movies"
"The Perfect Host: A Southern Gothic Tale",4.2,"Flop movies"
Convergence,4.3,"Flop movies"
"Capps Crossing",4.3,"Flop movies"
"Billy Boy",4.3,"Flop movies"
