genre,year,movie_name,worlwide_gross_income,movie_rank
Thriller,2017,"The Fate of the Furious",1236005118,1
Comedy,2017,"Despicable Me 3",1034799409,2
Comedy,2017,"Jumanji: Welcome to the Jungle",962102237,3
Drama,2017,"Zhan lang II",870325439,4
Comedy,2017,"Guardians of the Galaxy Vol. 2",863756051,5
Thriller,2018,"The Villain",1300000000,1
Drama,2018,"Bohemian Rhapsody",903655259,2
Thriller,2018,Venom,856085151,3
Thriller,2018,"Mission: Impossible - Fallout",791115104,4
Comedy,2018,"Deadpool 2",785046920,5
Drama,2019,"Avengers: Endgame",2797800564,1
Drama,2019,"The Lion King",1655156910,2
Comedy,2019,"Toy Story 4",1073168585,3
Drama,2019,Joker,995064593,4
Thriller,2019,"Ne Zha zhi mo tong jiang shi",700547754,5
